AudioFileName,SpeakerID,Gender,Transcript
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1008.mp3,SP1,M," Ò lɑ̌hsí ā, mɑ̀ ǹ sī ìmbát lɑ̄' ngʉ́ fà'á sə̀ə̄līē' bɑ̄. "
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1009.mp3,SP1,M, Nzɑ̄ kɑ̌' mbátnjàm mɑ̀ ǹ sī ìmbát lɑ̄' mfʉ́ɑ́'/ngʉ́ bɑ̄. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1010.mp3,SP1,M, Cīcō'ò lɑ̀hsì ā lɑ́. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1011.mp3,SP1,M," Ngɑ̌ pén lɑ̀hsì/lə̀hsì zō, tɑ́', ǒ sì īmfʉ́ɑ́'. "
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1012.mp3,SP1,M, Nzâknù 12. Cɑ̀'sǐ cà'sì. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1013.mp3,SP1,M, Ǒ ìndī’ měh béé sìèsì lè mɑ̀ ǒ còh nzhī làh nsíé mbè’mbè’ cà’sǐ mbí wèn mɑ̀ ghə̀ə̄ fè’éfě’è. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1014.mp3,SP1,M, Sɑ̌' mbə̀pə̄'/pə̀pē' ! 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1015.mp3,SP1,M," Mbə̀'mbə̀' (cômsǐ)  líé'zī, mbè'mbè' líé'nzɑ́zī.)"
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1016.mp3,SP1,M," Mbè'mbè' líé'zí mbú ò, mbə̀'mbə̀' líé'nzɑ́zí mbú ò. "
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1017.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' ngù'fí mbú ò. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1018.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' Ngù'fī. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1019.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' cà'sǐ cômsǐ lə́ə́ndʉ̄ɑ̄. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1020.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' cà'sǐ lə́ə́ndʉ̄ɑ̄. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1021.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' cà'sǐ ngwēèwèn. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1022.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' cà'sǐ kwèēngə̀'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1023.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' cà'sǐ lǒnɑ́wúɑ́ Yēhsò (Mēn Mbōò).
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1024.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' cà'sǐ nkə̀'nì/nkwè'nì. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1025.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' cà'sǐ nkə̀'nì/nkwè'nì. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1026.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' cà'sǐ pʉ̌nzhwīē. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1027.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' cà'sǐ pɑ̀mɑ̄. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1028.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' cà'sǐ pɑ̀mbɑ̄'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1029.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' cà'sǐ dìpʉ̀ɑ̀. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1030.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' cà'sǐ mfɑ̀'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1031.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' cà'sǐ ngə̀'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1032.mp3,SP1,M, Mbə̀'mbə̀'/mbè'mbè' cà'sǐ zí Mēn Mbōò. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1033.mp3,SP1,M, Kɑ́ tɑ́ ó mɑ̀nkɑ́'/mɑ̀nkwá'sí làh ngʉ́ nɑ́ ngù' fī ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1034.mp3,SP1,M, Kɑ́ tɑ́ ó mɑ̀nkɑ́'/mɑ̀nkwá'sí làh ngʉ́ nɑ́ ntìè' ē lǒnɑ́wūɑ̄ ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1035.mp3,SP1,M, Sɑ̌' mbə̀pə̄'/pə̀pē' ! 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1036.mp3,SP1,M, Pèn sɑ́' mbə̀pə̄' ! 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1037.mp3,SP1,M, Nzâknù 13. Ntìē'nzɑ̄/Ndɑ̌hnzɑ̄/Nshʉ̀ɑ̀nzɑ̄. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1038.mp3,SP1,M, Hǎ'mbǎk mɑ̀mvīāt mɑ́ tálàlàlàlàlàt! Ǒ ìndī’ měh béé sìèsì lè mɑ̀ ǒ còh nzhī làh nsōk wèn mvàk yì nzɑ́ mɑ̀nshʉ́ɑ́ lɑ́ mɑ̀ ghə̀ə̄ fè’éfě’è. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1039.mp3,SP1,M, Mbǎk ló zě'è tɑ̀'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1040.mp3,SP1,M, Mbǎk tó' làh ndō. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1041.mp3,SP1,M, Fōh nzɑ́ nshī' ncɔ̀ vʉ̀'ʉ̄ mɑ̀ ghǎm. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1042.mp3,SP1,M," Nděn shʉ̀ɑ̀, ndɑ̌h nzɑ́ pə̀'. "
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1043.mp3,SP1,M, Zʉ̌' mɑ̀ndóm/kòndə́b. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1044.mp3,SP1,M, Fōh nzɑ́ ngwǎ' nshī' ncɔ̀ tî mɑ̀ mʉ̄mbʉ́ɑ́. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1045.mp3,SP1,M, Fóh mɑ̀nkō séè. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1046.mp3,SP1,M, Zʉ̌' mɑ̀ndóm tɑ̀'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1047.mp3,SP1,M, Fóh mɑ̀nkō séè tɑ̀'/yə̄ə̄. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1048.mp3,SP1,M, Zʉ̌' mɑ̀ nɑ̄' ndóm. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1049.mp3,SP1,M, Nìīmbǎk mɑ̀mfī'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1050.mp3,SP1,M, Mbàk kɑ̀' lō fhʉ̄ ngɑ̀ɑ̀ pʉ́ɑ́. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1051.mp3,SP1,M, Mbàk kɑ̀' lō fhʉ̄ līē'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1052.mp3,SP1,M, Mbàk kɑ̀ sì lō wāhà. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1053.mp3,SP1,M, Nzɑ̄ kɑ̀' pé' zě'è. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1054.mp3,SP1,M, Vhʉ́mbǎk mɑ̀mfī'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1055.mp3,SP1,M, Mbǎk mɑ̀ncāt tōō. Mʉ̄ɑ̄ zɑ́' mbǎk mɑ̀ndō. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1056.mp3,SP1,M," Mbǎk mɑ̀ndō séè, ntìē'sēē béè. "
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1057.mp3,SP1,M, Mbǎk mɑ̀ndō. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1058.mp3,SP1,M, Mbǎk cwàà. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1059.mp3,SP1,M, Mbǎk ìndō. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1060.mp3,SP1,M, Fʉ̀fùá séé nshʉ́'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1061.mp3,SP1,M, Pʉ̀pɑ́' mbǎk kòndʉ́'sí. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1062.mp3,SP1,M, Ndùàlɑ̌ fí'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1063.mp3,SP1,M, Nǎm séé ntʉ̄ɑ̄. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1064.mp3,SP1,M, Fùfùá mɑ̀nnám nthʉ̄ píá mvēnɑ̀. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1065.mp3,SP1,M, Mʉ̄ɑ̄ fùfùá mɑ̀nshʉ́'. Hǎ'mbǎk kòmvīātsī. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1066.mp3,SP1,M, Mbàk kɑ̀' cwáá fhʉ̄ fɑ́hnzɑ́ è (bɑ̄).
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1067.mp3,SP1,M, Nzɑ́ kòndʉ́'sí. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1068.mp3,SP1,M, Nzɑ́ sēn. Ndùɑ̀lɑ̌/ndùàlɑ̌ fí'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1069.mp3,SP1,M, Nǎm mɑ̀ntʉ̄ɑ̄. Nǎm kòntʉ̄ɑ̄. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1070.mp3,SP1,M, Nǎm pàt ntō' mbʉ́ɑ́/làh tʉ̄ɑ̄. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1071.mp3,SP1,M, Yáá mɑ̀mfōh pɑ́' mbǎk ìndō lɑ́. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1072.mp3,SP1,M, Yàā ntìē'nzɑ̄ béé wú pèn ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1073.mp3,SP1,M, Mǒ' mbə̀' līē'/líé'nzɑ̄ mbɑ̀ ! 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1074.mp3,SP1,M, Fōh nzɑ́ mvàk lāhā ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1075.mp3,SP1,M," Nzâknù 14. Yú'nā, yú'mbʉ̄ɑ̄, nzhìè. "
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1076.mp3,SP1,M, Ǒ ìndī’ mèhsǐ béé sìèsì lè mɑ̀ ǒ kù’sì làh nsōk wèn mvàk yì ǒ mɑ̀njū’ nā ó pó ó lɑ́ mɑ̀ ghə̀ə̄lɑ̄’. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1077.mp3,SP1,M, Zʉ̌' mɑ̀ndóm ō ó ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1078.mp3,SP1,M, Nzhìèkú' mɑ̀nkō ō ó ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1079.mp3,SP1,M, Fóh mɑ̀nkō ō ó ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1080.mp3,SP1,M, Nzhìè nshǐ mɑ̀nkō ō ó ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1081.mp3,SP1,M, Lóh zɑ́h ó ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1082.mp3,SP1,M, Nǔ mɑ̀mbə́' ō ó ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1083.mp3,SP1,M, Ǒ mɑ̀njā'nthʉ̄ ʉ́ ? Nǔ mɑ̀mbɑ̄h ō ó ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1084.mp3,SP1,M, Ǒ púá á ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1085.mp3,SP1,M, Zʉ̌' mɑ̀ndóm. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1086.mp3,SP1,M, Fóh mɑ̀nkō. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1087.mp3,SP1,M, Yáá ncāk mɑ́ ń nhwīēsī nā à. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1088.mp3,SP1,M, Yáá ncāk mɑ́ ó hwīēsī nā ò. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1089.mp3,SP1,M, Ngɑ̌ mɑ̀nkwé' làh ndʉ̄'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1090.mp3,SP1,M, Nzhìèkú' mɑ̀nkō ā. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1091.mp3,SP1,M, Nthʉ̄ á kòmbénsí. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1092.mp3,SP1,M, Nzhìè nshǐ mɑ̀nkō ā. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1093.mp3,SP1,M, Lóh zɑ́h à. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1094.mp3,SP1,M, Zʉ̌' mɑ̀ndóm ā tɑ̀'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1095.mp3,SP1,M, Fóh mɑ̀nkō ā tɑ̀'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1096.mp3,SP1,M, Nǔ mɑ̀mbə́' ā. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1097.mp3,SP1,M, Ngɑ̌ mɑ̀njā'nthʉ̄. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1098.mp3,SP1,M, Ngɑ̌ púá. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1099.mp3,SP1,M, Ngɑ̌ víát. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1100.mp3,SP1,M, Nzhìè làh nní mɑ̀nkō ā. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1101.mp3,SP1,M, Ǒ mɑ̀nkə́' làh ndīē έ ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1102.mp3,SP1,M, Ǒ mɑ̀nkwé' làh nní í ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1103.mp3,SP1,M, Ǒ mɑ̀nkə́'/mɑ̀ncāk làh nhwīēsī nā ó ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1104.mp3,SP1,M, Ǒ mɑ̀nkwé' làh nsíí í ? 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1105.mp3,SP1,M, Nzâknù 15. Nǔ cə́ə́nzèn. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1106.mp3,SP1,M," Ǒ ìndī’ mèhsǐ béé sìèsì lè mɑ̀ ǒ kù’sì làh ngʉ́ɑ́’sí wèn ntìè’ yì zīī zǐ léé lɑ́, lɑ̄ ncə̄ə̄ nzěn wèn ntìè’ yì nǔ ghʉ̀ ī lɑ́. "
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1107.mp3,SP1,M, Nkō cə́ə́ nù. 
